blok                            	gostsetve                       	gostvznika                      	prid.ha                         	prid.rast                       
1	65.23	51.85	5880	0.09
1	23.61	23.51	2936	0.124
1	129.9	123.8	6962	0.054
1	50.48	49.52	5152	0.102
1	47.62	41.27	4129	0.087
1	4.967	4.04	720	0.145
1	71.43	57.78	5219	0.073
1	172.1	133.3	6481	0.038
1	35.44	33.22	3508	0.101
1	95.24	72.38	6719	0.071
1	54.35	50	4975	0.092
1	128.1	118.1	8281	0.065
1	47.08	43.41	4442	0.094
1	109.9	86.35	6433	0.059
1	84.03	81.27	7295	0.086
2	65.23	51.85	5468	0.084
2	23.61	22.94	1377	0.058
2	129.9	126.3	6980	0.054
2	50.48	48.89	5390	0.106
2	47.62	48.25	4933	0.104
2	4.967	4.734	773	0.156
2	71.43	73.17	4881	0.068
2	172.1	146.9	6809	0.039
2	35.44	35.91	2337	0.067
2	95.24	86.96	7362	0.077
2	54.35	56.67	4975	0.092
2	128.1	127.7	6119	0.048
2	47.08	42.79	5124	0.109
2	109.9	92.86	6595	0.06
2	84.03	80.64	5543	0.066
3	65.23	46.56	3841	0.059
3	23.61	20.57	2055	0.087
3	129.9	129.5	8433	0.065
3	50.48	47.93	4771	0.094
3	47.62	37.46	3990	0.084
3	4.967	4.377	717	0.144
3	71.43	67.3	5176	0.072
3	172.1	157.5	7005	0.041
3	35.44	24.13	4182	0.121
3	95.24	80	6676	0.07
3	54.35	57.78	4858	0.089
3	128.1	127	6581	0.051
3	47.08	41.34	4116	0.087
3	109.9	93.33	5867	0.053
3	84.03	80.63	7210	0.086
