Vlaga	Sevanje	Kalivost
HH	100	0.1921
HH	100	0.1250
HH	100	0.1558
HH	100	0.1530
HH	100	0.1988
HH	100	0.0821
HH	100	0.1583
HH	100	0.0618
HH	100	0.1262
HH	200	0.1212
HH	200	0.0851
HH	200	0.1615
HH	200	0.1124
HH	200	0.1329
HH	200	0.1081
HH	200	0.1465
HH	200	0.1793
HH	200	0.0793
HH	300	0.1244
HH	300	0.0929
HH	300	0.0842
HH	300	0.2012
HH	300	0.1024
HH	300	0.1111
HH	300	0.0637
HH	300	0.0685
HH	300	0.0651
HH	350	0.0771
HH	350	0.0762
HH	350	0.1100
HH	350	0.1733
HH	350	0.0751
HH	350	0.0585
HH	350	0.0833
HH	350	0.0303
HH	350	0.0608
HH	400	0.1042
HH	400	0.0963
HH	400	0.0444
HH	400	0.0901
HH	400	0.1161
HH	400	0.0418
HH	400	0.0701
HH	400	0.0290
HH	400	0.0465
HH	500	0.1284
HH	500	0.0577
HH	500	0.0203
HH	500	0.0492
HH	500	0.1132
HH	500	0.0475
HH	500	0.0296
HH	500	0.0444
HH	500	0.1079
HH	600	0.0544
HH	600	0.0907
HH	600	0.0652
HH	600	0.0278
HH	600	0.0417
HH	600	0.0256
HH	600	0.0339
HH	600	0.0370
HH	600	0.0175
HH	700	0.0065
HH	700	0.0159
HH	700	0.0175
HH	700	0.0152
HH	700	0.0000
HH	700	0.0000
HH	700	0.0000
HH	700	0.0193
HH	700	0.0000
RH	100	0.1279
RH	100	0.1583
RH	100	0.1040
RH	100	0.1274
RH	100	0.1069
RH	100	0.1677
RH	100	0.1097
RH	100	0.1256
RH	100	0.1001
RH	200	0.1062
RH	200	0.2200
RH	200	0.0896
RH	200	0.0992
RH	200	0.0700
RH	200	0.0807
RH	200	0.1405
RH	200	0.1292
RH	200	0.1156
RH	300	0.0631
RH	300	0.0938
RH	300	0.0641
RH	300	0.0907
RH	300	0.0452
RH	300	0.0397
RH	300	0.0563
RH	300	0.0635
RH	300	0.1184
RH	350	0.0374
RH	350	0.0524
RH	350	0.0145
RH	350	0.0570
RH	350	0.0175
RH	350	0.0681
RH	350	0.0708
RH	350	0.0340
RH	350	0.0405
RH	400	0.0617
RH	400	0.0098
RH	400	0.0351
RH	400	0.0304
RH	400	0.0607
RH	400	0.0361
RH	400	0.0470
RH	400	0.0278
RH	400	0.0256
RH	500	0.0298
RH	500	0.0370
RH	500	0.0504
RH	500	0.0303
RH	500	0.0351
RH	500	0.0547
RH	500	0.0863
RH	500	0.0373
RH	500	0.0300
RH	600	0.0000
RH	600	0.0000
RH	600	0.0000
RH	600	0.0000
RH	600	0.0000
RH	600	0.0000
RH	600	0.0196
RH	600	0.0000
RH	600	0.0101
RH	700	0.0180
RH	700	0.0000
RH	700	0.0085
RH	700	0.0000
RH	700	0.0000
RH	700	0.0000
RH	700	0.0000
RH	700	0.0000
RH	700	0.0000
