height	age	buckets
5.6	3	2
12.7	5	0
23.9	10	1
28.5	15	2
45.6	20	0
34.5	25	0
5.3	3	0
11.1	5	2
16.9	10	1
18.5	15	2
37.5	20	2
47.2	25	2
5.3	3	0
7.1	5	2
21.8	10	1
37.2	15	2
43.7	20	0
56.8	25	0
7.6	3	1
10.4	5	2
23.8	10	2
29.8	15	0
30.1	20	2
48.5	25	0
5.8	3	2
15.6	5	0
17.5	10	0
34	15	1
37.9	20	1
43.3	25	2
5.8	3	2
13	5	1
20.1	10	1
24	15	0
47.5	20	1
53.2	25	0
6.4	3	2
10.5	5	1
21.3	10	1
28.2	15	0
44.4	20	1
39.6	25	2
7.7	3	0
9.1	5	1
20.5	10	1
39.4	15	1
32.4	20	2
50.4	25	1
6.7	3	1
11.3	5	1
18.6	10	0
24.4	15	2
45.2	20	0
41.5	25	0
