Sales	Price	Advertising	ShelveLoc
9.5	120	11	Bad
11.22	83	16	Good
10.06	80	10	Medium
7.4	97	4	Medium
4.15	128	3	Bad
10.81	72	13	Bad
6.63	108	0	Medium
11.85	120	15	Good
6.54	124	0	Medium
4.69	124	0	Medium
9.01	100	9	Bad
11.96	94	4	Good
3.98	136	2	Medium
10.96	86	11	Good
11.17	118	11	Good
8.71	144	5	Medium
7.58	110	0	Good
12.29	131	13	Good
13.91	68	0	Good
8.73	121	16	Medium
6.41	131	2	Medium
12.13	109	12	Good
5.08	138	6	Medium
5.87	109	0	Medium
10.14	113	16	Bad
14.9	82	0	Good
8.33	131	11	Good
5.27	107	0	Medium
2.99	97	0	Bad
7.81	102	15	Bad
13.55	89	0	Good
8.25	131	16	Medium
6.2	137	12	Good
8.77	128	13	Good
2.67	128	0	Medium
11.07	96	11	Medium
8.89	100	0	Good
4.95	110	5	Medium
6.59	102	0	Medium
3.24	138	0	Bad
2.07	126	0	Bad
7.96	124	0	Bad
10.43	24	0	Medium
4.12	134	11	Medium
4.16	95	6	Medium
4.56	135	0	Bad
12.44	70	14	Medium
4.38	108	0	Bad
3.91	98	0	Bad
10.61	149	0	Good
1.42	108	18	Bad
4.42	108	0	Bad
7.91	129	3	Bad
6.92	119	13	Medium
4.9	144	13	Medium
6.85	154	5	Medium
11.91	84	0	Medium
0.91	117	0	Bad
5.42	103	15	Bad
5.21	114	4	Medium
8.32	123	19	Bad
7.32	107	0	Medium
1.82	133	0	Bad
8.47	101	10	Medium
7.8	104	12	Medium
4.9	128	0	Medium
8.85	91	0	Medium
9.01	115	14	Medium
13.39	134	20	Good
7.99	99	0	Medium
9.46	99	15	Good
6.5	150	16	Medium
5.52	116	0	Medium
12.61	104	10	Good
6.2	136	5	Medium
8.55	92	23	Bad
10.64	70	10	Medium
7.7	89	12	Medium
4.43	145	1	Medium
9.14	90	0	Bad
8.01	79	16	Bad
7.52	128	0	Good
11.62	139	4	Good
4.42	94	7	Bad
2.23	121	0	Bad
8.47	112	0	Medium
8.7	134	9	Medium
11.7	126	7	Good
6.56	111	7	Medium
7.95	119	3	Medium
5.33	103	0	Medium
4.81	107	11	Medium
4.53	125	0	Medium
8.86	104	0	Medium
8.39	84	5	Bad
5.58	148	10	Medium
9.48	132	10	Good
7.45	129	5	Bad
12.49	127	24	Good
4.88	107	3	Bad
4.11	106	11	Medium
6.2	118	0	Medium
5.3	97	0	Medium
5.07	96	0	Bad
4.62	138	0	Medium
5.55	97	8	Medium
0.16	139	0	Medium
8.55	108	0	Medium
3.47	103	2	Bad
8.98	90	0	Medium
9	116	7	Medium
6.62	151	12	Medium
6.67	125	5	Good
6.01	127	11	Bad
9.31	106	9	Medium
8.54	129	0	Medium
5.08	128	0	Medium
8.8	119	0	Medium
7.57	99	2	Medium
7.37	128	8	Medium
6.87	131	11	Medium
11.67	87	10	Bad
6.88	108	5	Medium
8.19	155	0	Good
8.87	120	0	Good
9.34	49	0	Medium
11.27	133	2	Good
6.52	116	3	Medium
4.96	126	3	Bad
4.47	147	7	Bad
8.41	77	13	Medium
6.5	94	3	Medium
9.54	136	9	Good
7.62	97	2	Bad
3.67	131	0	Medium
6.44	120	14	Medium
5.17	120	0	Bad
6.52	118	0	Medium
