Cd	Zn	Cu	Pb	razdalja.m
2	141	23.8	71.8	18306.8
0.8	55	8.1	26.5	17582.4
0.6	177	28.1	58.8	15695.2
0.4	92	22.7	35.5	15110.9
0.4	122	19.3	21.9	13839.8
0.4	111	30.7	21.5	12535.5
0.2	76	14.2	34.2	13173.5
0.4	117	26.7	33.8	12788.3
0.5	128	30.7	29.9	12709.8
0.4	150	25.8	24.8	12943.7
0.3	97	15	25.1	12030.8
0.6	97	15.6	36.7	11257.9
0.5	98	19	17	10804.6
0.4	128	16	29	9712.88
0.4	88	14.6	17.5	10711.7
0.2	96	16.6	24.3	10988.2
1.3	140	13.1	50	11607.8
0.2	85	5.6	18.4	9377.63
0.3	84	17.1	19.7	8828.36
0.3	96	24	23.6	8714.36
0.5	68	9.6	45.3	8714.36
0.6	137	27.6	30.7	9052.07
0.4	115	51.4	35	9794.9
1	68	8.7	76.5	8668.33
0.4	107	23.1	33.1	7559.1
1.6	147	20.9	123.5	6688.8
0.5	142	18.5	35	6865.86
0.6	125	15.7	26.7	6718.63
1	144	21.8	47.9	5721.89
0.5	106	16.6	36	6718.63
1.8	340	24.4	58	5894.06
0.9	132	17.1	41.4	5721.89
2.4	216	12.7	120.7	7151.22
0.8	130	16.1	36.3	8070.94
0.5	137	20.1	39.1	9334.88
1.2	113	10.1	56	5860.03
1.5	546	30.2	81.3	4465.42
0.7	87	10.5	109	5093.13
1	129	17.6	174.4	5825.8
0.5	126	66.6	47.5	6628.73
0.6	112	10.5	93.3	6506.92
0.9	156	28	42	4924.43
1.3	172	11.2	85.8	4726.52
0.8	153	12.3	56.5	3733.63
0.9	148	19.7	40.8	3992.49
0.5	105	30.4	25.6	4738.14
0.8	138	19.1	41	4933.56
0.9	154	15.2	41.2	3992.49
0.6	205	33.6	42.2	3733.63
0.7	172	17.2	89.6	5323.53
0.7	140	30.7	35.2	5860.03
0.9	143	26.2	41.7	5093.13
0.7	107	13	88.3	4465.42
0.8	147	20.7	45.5	6506.92
1	88	10.4	112.9	6126.99
0.7	142	18.1	70.7	5247.86
2.1	230	15.3	67.1	4810.41
0.9	188	17.9	40.3	5756.74
0.9	91	7.6	101.6	4420.41
0.7	130	13.3	46.2	3679.67
2.1	344	20	103.1	3023.24
1.3	265	30.1	135.8	3891.02
0.5	79	10.4	37	3088.69
2	401	25	104	2745.91
1.5	376	26.3	120	2267.16
4.7	627	22.8	258.7	2745.91
0.8	260	37.3	78.6	3088.69
2.7	590	47.5	186.8	2267.16
1.9	479	22.5	112.4	1772
1.4	294	22.9	90.5	3679.67
0.9	158	19.2	38.9	4420.41
1.9	431	17.5	108	3891.02
1.7	260	22.7	68	3023.24
1.6	163	12.8	52.8	5247.86
1.6	295	15.6	72.2	4810.41
3.3	467	19.9	101.8	3569.31
2	377	21.1	238.4	2596.15
20.6	3010	76.3	393.4	2517.94
5.2	497	26.7	80.7	3413.21
3.5	331	39.5	48	4310.45
3.6	385	21	74.6	4554.12
18.7	2750	58.8	432.8	2022.37
6.3	883	36.2	265.9	1655.29
4.6	967	45.3	231.8	860.233
7	832	38.9	82.1	583.095
13	1865	37.7	271.8	1529.71
10.1	1569	49.7	208.6	860.233
12.5	1638	77.7	284.8	1655.29
5.8	838	49.1	121.7	1529.71
5.9	1091	100	143	583.095
2.4	317	14.7	55.8	2692.58
1.4	268	20.8	320	2517.94
2.2	204	16.1	250	5651.55
2	153	13.4	50.4	3733.63
5.7	488	29.3	104.2	2817.8
5.2	450	31.8	251.7	3397.06
2.1	293	27.9	64	4188.08
3.2	280	23.6	373.2	1984.94
1	165	9.2	90.9	1392.84
2.1	244	27.8	57.4	2353.72
3	263	22.1	201.6	2745.91
1.1	126	11.8	214.7	1392.84
8.6	1308	51.2	217.1	1802.78
2.5	321	28.1	66.3	2745.91
5.2	438	49.5	657	2817.8
1.7	183	23.3	41	4188.08
1.8	259	21.1	48	3397.06
3	375	20.9	81.5	4684.02
1.4	235	17.2	44.1	5053.71
3.4	207	16.2	89	6414.05
11.4	1250	69.9	297	4810.41
2.6	256	35.9	70	3624.91
4	350	22.7	141.3	3337.66
1.8	193	17.4	92.7	4140.05
1.9	223	10.8	130.1	5580.32
0.5	103	26.3	35.1	5948.11
1	119	12	52.1	6952.7
0.6	185	24.7	57.1	7317.1
1	84	9.6	58	7716.22
