Postaja	x.gdol	y.gsir	z.nv	padavine
Babno polje	464930	56264	756	1643
Bizeljsko	554193	97520	170	1048
Brezovica pri Topolu	451721	105620	708	1715
Brnik	459888	119639	362	1396
Bukovo	415040	112316	715	2089
Celje	519274	122872	244	1169
Èepovan	407149	101315	607	2391
Èrni vrh nad Idrijo	426241	87226	683	2559
Èrnomelj	515610	46928	196	1290
Dom na Komni	405223	126911	1520	3207
Godnje pri Tomaju	410537	67921	295	1452
Gornji Lenart	544200	87438	150	1059
Grbin pri Litiji	488398	102849	242	1231
Idrija	423614	96026	333	2217
Ilirska Bistrica	441467	47549	414	1550
Izvir Soèe	401332	140312	800	2383
Javorje nad Poljanami	436915	113287	695	1800
Jezersko			894	1975
Klenik pri Vaèah	488515	108158	550	1260
Koèevje	489865	53951	461	1584
Komen	402879	75816	289	1666
Kostanjevica	536231	80352	185	1186
Kredarica	411549	137931	2514	1955
Krn	396653	121491	910	2731
Kubed	411732	42341	262	1303
Lendava	612650	160566	195	824
Lesce	436850	136011	515	1541
Lipoglav	472894	95118	524	1340
Ljubljana-Bežigrad	462655	102457	299	1395
Maribor	549167	155240	275	1048
Mašun	450885	54136	1017	2142
Matavun	422081	57763	426	1513
Mokronog	511627	89513	251	1143
Murska Sobota	590343	165750	184	807
Nanos	423857	75523	915	1880
Nova Gorica	395354	90389	113	1538
Nova vas na Blokah	462091	69955	722	1503
Novelo pri Temnici	395942	79263	350	1680
Novomesto	513990	72849	220	1134
Otlica	416206	87539	840	2457
Ozeljan			104	1532
Planina pri Rakeku	441738	76441	456	1902
Podbrdo	421319	120013	512	2281
Podkum	502320	102838	740	1347
Portorož-Beli Križ	389128	42766	92	1051
Postojna	437588	69412	533	1539
Radovna	425892	138327	630	1925
Rakitna	455760	81882	787	1748
Rakitovec	419472	36680	496	1559
Rateèe-Planica	401766	151421	864	1652
Ribnica na Dolenjskem	480071	63086	491	1470
Rob na Dolenjskem	466608	78480	540	1578
Rogaška Slatina	548588	120812	235	1048
Rovte	436067	93569	705	1846
Sevnica	523225	97325	256	1113
Sevno	493802	92839	515	1221
Slap pri Vipavi	416879	76724	137	1562
Stara Fužina	415080	127569	547	2364
Šmarna gora	458964	109643	665	1423
Trbovlje	501545	109506	300	1287
Tržiè-elektrarna	446131	134193	480	1488
Vedrijan	387744	98304	258	1708
Vojsko	416388	97848	1070	2577
Volèji potok	470677	117355	360	1385
Vrhnika	442091	91132	293	1623
Zgornji Tuhinj	482261	120644	578	1471
Železniki	435975	119842	458	1932
