leto	cvet.dan	temp
1955	51	1.75
1956	77	-2.95
1957	60	0.8
1958	45	0.25
1959	52	-0.05
1960	56	0.35
1961	59	0.35
1962	77	0.6
1963	95	-4.65
1964	85	-2.7
1965	78	-1.35
1966	52	1.7
1967	62	0.1
1968	64	0.05
1969	76	-1.2
1970	75	0.45
1971	53	0.65
1972	64	0.5
1973	75	0.5
1974	51	3.55
1975	31	3.15
1976	63	0.3
1977	46	3.2
1978	66	0.6
1979	61	-0.1
1980	44	0.9
1981	73	-2.15
1982	73	-1.3
1983	70	0.1
1984	76	-0.1
1985	85	-3.7
1986	86	-1.35
1987	84	-1.45
1988	40	3.6
1989	51	1.7
1990	38	2.6
1991	61	-0.35
1992	51	2
1993	43	0.9
1994	20	3
1995	40	2.7
1996	79	-0.85
1997	50	1.8
1998	28	4.25
1999	61	0.7
2000	50	1.2
2001	22	4.05
2002	40	2.2
2003	59	-1
2004	38	0.95
2005	74	-0.1
2006	68	-0.55
2007	15	5.4
2008	26	3.35
2009	47	0.15
2010	57	-0.2
2011	29	1.5
