	SDK	ZLSD	SDSS	LDS	ZS-ESS	ZS	DS	SLS	SPS	SNS
SDK	0,00	-215,00	114,00	-89,00	-77,00	94,00	-170,00	176,00	117,00	-210,00
ZLSD	-215,00	0,00	-217,00	134,00	77,00	-150,00	57,00	-253,00	-230,00	49,00
SDSS	114,00	-217,00	0,00	-203,00	-80,00	138,00	-109,00	177,00	180,00	-174,00
LDS	-89,00	134,00	-203,00	0,00	157,00	-142,00	173,00	-241,00	-254,00	23,00
ZS-ESS	-77,00	77,00	-80,00	157,00	0,00	-188,00	170,00	-120,00	-160,00	-9,00
ZS	94,00	-150,00	138,00	-142,00	-188,00	0,00	-97,00	140,00	116,00	-106,00
DS	-170,00	57,00	-109,00	173,00	170,00	-97,00	0,00	-184,00	-191,00	-6,00
SLS	176,00	-253,00	177,00	-241,00	-120,00	140,00	-184,00	0,00	235,00	-132,00
SPS	117,00	-230,00	180,00	-254,00	-160,00	116,00	-191,00	235,00	0,00	-164,00
SNS	-210,00	49,00	-174,00	23,00	-9,00	-106,00	-6,00	-132,00	-164,00	0,00
