"spol" "starost" "krovna_kat" "st_znakov_rec"
"4" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"10" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"11" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"16" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"19" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"23" "ženski" "14 do 17 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"26" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"28" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"30" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"36" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"37" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"38" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"42" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"44" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"46" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"48" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"49" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"51" "moški" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"52" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"56" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"58" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"60" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"64" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"65" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"67" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"68" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"70" "moški" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"71" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"72" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"73" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
