"starost","teza_pred","teza_po","visina"
36,49,53,160
32,NA,NA,NA
32,59,NA,174
35,78,NA,175
29,47,55,160
38,59,58,160
25,58,NA,168
36,52,NA,163
28,65,NA,173
33,55,NA,167
32,63,NA,168
35,62,NA,158
33,NA,NA,NA
34,58,NA,167
35,68,72,175
32,60,NA,164
32,53,62,170
29,74,74,164
29,54,55,165
29,59,61,166
26,NA,NA,NA
26,58,NA,168
29,56.5,54,173
36,62,NA,168
36,68,NA,170
28,NA,NA,NA
26,54,NA,167
26,58,NA,170
28,55,NA,167
33,NA,NA,NA
31,72,80,178
38,73,NA,183
30,54,NA,174
31,61,NA,173
26,NA,NA,NA
29,56,NA,170
28,63,NA,176
30,65,NA,165
34,NA,NA,NA
30,48,NA,165
33,NA,NA,NA
28,65,NA,170
36,69,70,178
27,72,NA,172
33,60,NA,168
34,50,NA,165
24,95,NA,180
24,48,NA,158
29,NA,NA,NA
36,64,NA,171
25,78,NA,167.5
29,59,NA,168
25,67,NA,178
34,53,NA,167
33,NA,NA,NA
30,54,63,160
34,60,NA,162
26,NA,NA,NA
41,NA,NA,NA
35,NA,NA,NA
26,50,52,166
25,50,NA,168
27,50,55,168
27,63,NA,168
29,53,52,164
28,55,NA,162
27,92,NA,160
33,51,NA,164
25,65,67,167
33,66,NA,165
37,80,NA,163
32,47,NA,152
32,55,59,162
33,60,57,165
30,68,74,163
36,57,NA,162
41,NA,62,NA
37,62,59,167
33,50,53,160
35,NA,NA,NA
29,62,56,160
33,53,NA,162
31,51,NA,164
26,53,NA,163
36,NA,NA,NA
32,53,49,172
35,48,NA,154
30,NA,NA,NA
31,98,110,180
42,56,60,162
35,45,45,154
30,58,58,168
23,56,49,165
35,70,75,162
37,57,52,170
40,69,69,178
31,NA,NA,NA
37,NA,NA,NA
34,78,78,168
32,62,65,162
35,68,NA,170
32,57,58,162
31,53,51,159
30,NA,NA,NA
27,52,57,168
28,75,80,170
28,75,NA,163
29,77,75,160
32,NA,74,NA
24,57,57,171
20,NA,NA,NA
27,65,63,170
35,60,NA,174
32,78,NA,180
33,58,50,170
39,NA,NA,NA
27,77,NA,174
NA,64,NA,170
29,50,NA,168
17,NA,NA,NA
33,59,57,170
35,86,NA,174
30,49,NA,160
34,50,50,170
32,62,NA,168
37,65,NA,164
31,70,80,179
26,58.5,57,170
28,52,56,161
38,57,NA,168
24,93,92,175
34,60,55,163
31,NA,NA,NA
33,NA,NA,NA
31,NA,NA,NA
29,56,58,170
34,50,55,160
30,66,62,173
31,63,NA,173
35,55,59,162
34,NA,NA,NA
33,NA,NA,NA
27,62,62,171
32,69,NA,172
37,58,55,163
33,68,75,170
34,63,NA,170
30,54,NA,164
28,NA,NA,177.5
25,56,53,167
34,65,62,162
33,81,84,173
37,93,NA,170
33,55,NA,158
25,105,NA,177
33,80,85,170
34,72,68,167
29,NA,NA,NA
39,NA,NA,NA
29,74,74,179
28,50,50,158
30,53,51,163
25,55,63,166
40,NA,NA,NA
31,55,NA,162
29,49,NA,158
33,70,60,173
31,53,NA,170
36,NA,NA,NA
22,49,NA,170
33,NA,NA,NA
27,52,NA,168
33,58,57,164
29,NA,NA,NA
22,55,NA,160
30,NA,NA,NA
30,74,78,170
34,NA,NA,NA
32,NA,NA,NA
30,NA,NA,NA
28,90,NA,NA
32,85,NA,160
26,68,NA,163
28,NA,62,NA
28,51.5,NA,162
23,54,NA,175
28,NA,NA,NA
29,56,NA,168
30,76,86,170
23,62,NA,172
30,69,73,180
36,NA,NA,NA
35,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
34,NA,NA,NA
28,NA,NA,NA
30,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
28,NA,NA,NA
31,NA,NA,NA
29,NA,NA,NA
27,NA,NA,NA
25,NA,NA,NA
NA,NA,NA,NA
26,NA,NA,NA
28,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
33,NA,NA,NA
33,NA,NA,NA
32,NA,NA,NA
26,NA,NA,NA
33,NA,NA,NA
40,NA,NA,NA
36,NA,NA,NA
