"Mesto","Rojstni.dan","Stevilo"
1,"01.01.",7783
2,"01.03.",6186
3,"01.10.",6126
4,"02.01.",6075
5,"01.04.",6045
6,"01.02.",6043
7,"01.05.",6030
8,"24.09.",6014
9,"10.03.",6010
10,"20.02.",5990
11,"05.05.",5950
12,"20.09.",5920
13,"19.03.",5909
14,"25.03.",5908
15,"15.09.",5900
16,"10.05.",5891
17,"25.01.",5888
18,"25.09.",5887
19,"18.03.",5886
20,"04.05.",5885
21,"15.04.",5879
22,"06.03.",5872
23,"02.02.",5864
24,"15.02.",5859
25,"15.03.",5856
26,"05.01.",5848
27,"28.09.",5847
28,"27.09.",5842
29,"23.03.",5840
30,"05.04.",5839
31,"25.05.",5839
32,"17.03.",5835
33,"21.03.",5829
34,"21.09.",5818
35,"26.09.",5818
36,"29.09.",5817
37,"22.04.",5816
38,"27.01.",5813
39,"10.02.",5812
40,"20.04.",5809
41,"20.01.",5802
42,"19.09.",5786
43,"07.05.",5784
44,"01.07.",5781
45,"25.04.",5776
46,"20.03.",5773
47,"24.04.",5768
48,"10.04.",5766
49,"09.03.",5765
50,"04.03.",5763
51,"18.04.",5761
52,"22.02.",5758
53,"26.02.",5758
54,"23.01.",5756
55,"22.09.",5756
56,"25.02.",5755
57,"23.09.",5754
58,"03.03.",5752
59,"15.05.",5752
60,"29.03.",5750
61,"18.01.",5745
62,"07.02.",5744
63,"07.03.",5743
64,"07.04.",5743
65,"23.04.",5743
66,"10.01.",5740
67,"06.05.",5738
68,"22.01.",5737
69,"26.01.",5737
70,"02.04.",5736
71,"12.05.",5735
72,"03.10.",5730
73,"24.03.",5727
74,"08.04.",5723
75,"15.01.",5721
76,"04.04.",5720
77,"28.03.",5719
78,"22.03.",5718
79,"13.04.",5718
80,"17.01.",5716
81,"21.01.",5716
82,"12.04.",5713
83,"24.02.",5712
84,"09.05.",5708
85,"30.01.",5707
86,"30.09.",5705
87,"08.03.",5704
88,"12.09.",5702
89,"01.09.",5695
90,"03.01.",5692
91,"27.03.",5692
92,"28.01.",5691
93,"28.04.",5690
94,"13.05.",5687
95,"09.04.",5686
96,"04.01.",5684
97,"16.01.",5683
98,"16.03.",5681
99,"21.04.",5680
100,"14.04.",5679
101,"05.07.",5675
102,"10.10.",5675
103,"03.05.",5673
104,"20.05.",5670
105,"06.01.",5667
106,"15.06.",5667
107,"08.05.",5666
108,"05.10.",5665
109,"12.02.",5662
110,"05.06.",5660
111,"05.03.",5659
112,"02.03.",5658
113,"06.04.",5657
114,"03.04.",5649
115,"12.03.",5648
116,"01.08.",5642
117,"23.06.",5640
118,"03.02.",5639
119,"29.01.",5636
120,"14.03.",5636
121,"29.04.",5634
122,"21.02.",5633
123,"17.04.",5632
124,"29.05.",5632
125,"02.10.",5632
126,"30.03.",5630
127,"14.02.",5627
128,"23.02.",5627
129,"08.10.",5627
130,"19.02.",5625
131,"17.05.",5625
132,"10.06.",5625
133,"01.06.",5624
134,"20.08.",5624
135,"26.04.",5623
136,"27.04.",5619
137,"07.07.",5615
138,"05.02.",5612
139,"16.04.",5612
140,"11.05.",5608
141,"18.02.",5603
142,"18.09.",5603
143,"28.02.",5587
144,"27.05.",5584
145,"06.02.",5579
146,"14.05.",5578
147,"23.05.",5575
148,"28.05.",5574
149,"13.03.",5572
150,"24.01.",5571
151,"09.02.",5570
152,"19.05.",5570
153,"19.01.",5566
154,"15.07.",5564
155,"16.05.",5559
156,"17.09.",5556
157,"07.01.",5554
158,"26.03.",5548
159,"16.02.",5547
160,"14.07.",5544
161,"19.04.",5538
162,"11.04.",5537
163,"16.09.",5535
164,"13.02.",5534
165,"01.12.",5534
166,"17.02.",5527
167,"20.06.",5527
168,"04.02.",5525
169,"02.07.",5522
170,"04.06.",5521
171,"08.06.",5520
172,"03.07.",5518
173,"27.02.",5516
174,"14.01.",5515
175,"08.02.",5515
176,"02.05.",5508
177,"31.03.",5507
178,"14.09.",5497
179,"06.06.",5493
180,"14.06.",5493
181,"11.03.",5492
182,"28.06.",5488
183,"16.06.",5486
184,"30.04.",5481
185,"24.05.",5480
186,"10.07.",5480
187,"10.09.",5477
188,"26.06.",5474
189,"04.10.",5473
190,"27.06.",5469
191,"17.06.",5463
192,"13.09.",5463
193,"03.06.",5461
194,"11.02.",5453
195,"08.07.",5445
196,"12.01.",5443
197,"22.05.",5443
198,"19.07.",5443
199,"24.08.",5443
200,"08.08.",5442
201,"20.07.",5441
202,"11.01.",5440
203,"18.05.",5440
204,"21.06.",5439
205,"06.07.",5436
206,"20.10.",5436
207,"25.08.",5433
208,"06.10.",5433
209,"25.07.",5432
210,"04.07.",5431
211,"07.10.",5429
212,"27.08.",5428
213,"07.06.",5426
214,"13.06.",5426
215,"18.10.",5426
216,"08.01.",5424
217,"02.06.",5424
218,"10.08.",5424
219,"21.05.",5423
220,"11.10.",5421
221,"28.10.",5421
222,"24.06.",5420
223,"30.10.",5416
224,"18.07.",5414
225,"17.10.",5411
226,"19.08.",5410
227,"02.08.",5408
228,"13.01.",5406
229,"26.08.",5406
230,"31.01.",5404
231,"11.11.",5404
232,"17.08.",5403
233,"15.12.",5402
234,"09.06.",5401
235,"16.07.",5401
236,"14.10.",5400
237,"18.08.",5391
238,"30.05.",5390
239,"09.01.",5386
240,"19.06.",5386
241,"27.07.",5381
242,"17.07.",5379
243,"18.06.",5377
244,"11.06.",5376
245,"23.08.",5373
246,"26.05.",5372
247,"09.10.",5372
248,"22.06.",5369
249,"15.08.",5368
250,"29.06.",5367
251,"05.09.",5360
252,"15.11.",5360
253,"04.09.",5358
254,"12.07.",5357
255,"13.07.",5355
256,"23.07.",5355
257,"05.08.",5352
258,"22.08.",5352
259,"14.08.",5350
260,"25.10.",5344
261,"24.11.",5344
262,"28.07.",5343
263,"12.06.",5335
264,"15.10.",5335
265,"25.06.",5333
266,"28.08.",5327
267,"11.09.",5326
268,"24.10.",5323
269,"25.11.",5319
270,"03.12.",5316
271,"26.07.",5315
272,"24.07.",5314
273,"21.07.",5313
274,"21.08.",5311
275,"03.08.",5309
276,"08.09.",5305
277,"20.11.",5295
278,"22.10.",5290
279,"24.12.",5290
280,"12.12.",5289
281,"06.11.",5288
282,"05.11.",5286
283,"09.07.",5284
284,"16.08.",5283
285,"04.11.",5282
286,"30.08.",5278
287,"29.07.",5277
288,"20.12.",5277
289,"29.08.",5276
290,"01.11.",5275
291,"16.10.",5269
292,"26.10.",5262
293,"28.11.",5262
294,"10.11.",5259
295,"03.09.",5258
296,"02.09.",5257
297,"12.10.",5254
298,"22.07.",5253
299,"10.12.",5252
300,"07.09.",5250
301,"09.09.",5239
302,"23.12.",5238
303,"12.11.",5236
304,"30.07.",5234
305,"31.05.",5233
306,"17.11.",5226
307,"02.12.",5226
308,"02.11.",5225
309,"16.11.",5225
310,"07.08.",5222
311,"03.11.",5219
312,"08.11.",5218
313,"11.07.",5215
314,"29.10.",5215
315,"07.11.",5215
316,"06.08.",5213
317,"04.12.",5213
318,"21.12.",5210
319,"17.12.",5207
320,"16.12.",5200
321,"21.11.",5193
322,"12.08.",5190
323,"19.10.",5188
324,"14.11.",5187
325,"18.12.",5184
326,"23.11.",5174
327,"22.12.",5174
328,"13.08.",5173
329,"09.08.",5169
330,"05.12.",5168
331,"26.11.",5166
332,"21.10.",5162
333,"19.12.",5162
334,"04.08.",5158
335,"27.10.",5154
336,"30.06.",5152
337,"11.08.",5152
338,"06.09.",5146
339,"29.11.",5145
340,"11.12.",5124
341,"13.10.",5121
342,"06.12.",5110
343,"13.11.",5104
344,"22.11.",5094
345,"08.12.",5086
346,"07.12.",5083
347,"30.11.",5082
348,"31.07.",5081
349,"19.11.",5079
350,"18.11.",5071
351,"28.12.",5046
352,"31.10.",5044
353,"09.12.",5027
354,"13.12.",5027
355,"23.10.",5021
356,"25.12.",4997
357,"27.12.",4992
358,"26.12.",4961
359,"27.11.",4955
360,"30.12.",4955
361,"31.08.",4943
362,"09.11.",4938
363,"14.12.",4900
364,"29.12.",4887
365,"31.12.",4503
366,"29.02.",1327
