date site humi  temp   b1 b2 b3 b4 b5 b6  f1 f2 f3 f4 f5 f6 
08.03  1  31 13  17 17 19 10 17 21  10  4  1  0  4  1
08.03  2  32  9  10  6  2 16  7  2  12  6  7  4  2  2
08.03  3  28  8   5  0  3  2  8  1   7  1  0  3  4  0
08.03  4  28  9   2  1  4  4  4  0  10  3  3 16  6  0
08.03  5  28 11   8 11 11  2  3  8   2  1  4 13 10  3
08.03  6  29 10   2  1  0  2  1  1   0  1  0  2  2  0
08.03  7  23 10   1  0  0  1  1  0   0  2  2  3  4  0
22.03  1  48  6  10 11  8 10  4  7   4  3  7  6  7  9
22.03  2  46  7   4  1  1  0  1  1   4  2  1 13  9  3
22.03  3  44  8   9 10  3  4 16 11  10  2  9  7 22  5
22.03  4  40  8  16  3  4  1  4  1  11  0  3  6  8  4
22.03  5  42  7   9  2  4  1  3  2   6  2  3 12  9  0
22.03  6  37  7   2  1  2  1  3  2   4  5  1  1 12  0
22.03  7  38  7   1  2  2  4  2  0   4  2  3  1 12  3
05.04  1  37 10   8  9  3  6  5  1   4  1  1  1  5  1
05.04  2  33 12   2  3  3  0  1  2   1  0  0  1  0  1
05.04  3  33 13   1  2  1  1  1  1   1  0  1  0  2  0
05.04  4  35 12   3  1  3  3  0  1   2  1  1  6  3  2
05.04  5  31 10   2  2  1  3 11  0   0  1  3  3  4  1
05.04  6  31 12   3  2  4  5  1  1   1  0  1  1  3  0
05.04  7  32 12   3  0  1  0  2  0   4  0  0  0  3  0
19.04  1  36 18  20  6  5 21 14 14  11  3  4  4  5  6
19.04  2  45 18  16  4  9  5  8  1  16  6  3  4  4  2
19.04  3  38 18  30  7  4  4 23  7   4  4  4  6  4  2
19.04  4  29 22   4  1  6  2  2  1   3  1  2  0  0  2
19.04  5  39 18   1  4  1  0  0  3   8  1  1  2  1  5
19.04  6  33 21   9  3  1  1  2  1   3  1  0  3  3  1
19.04  7  38 20   2  1  1  2  2  7   5  2  0  4  5  2
02.05  1  40 19  20  2  4  4  3  3   2  1  2  3  6  2
02.05  2  35 22  32  5  5  1  4 10  42 11  4 12  9  1
02.05  3  36 22   4  0  5  4  1  1   5  0  3  3 14  1
02.05  4  26 21  12  4  1  7  4  3  12  5  3  2  8  0
02.05  5  28 22   5  5  7  5  5  2   4  1  2  6 16  0
02.05  6  25 22   2  1  1  2  1  1   1  2  0  1  6  0
02.05  7  27 19   1  0  2  3  0  2   2 18 18  7 22 42
16.05  1  41 18  17 10  8  7  4  2   7  2  8  3  2  2
16.05  2  40 21  11  2  1  9 12  5   8 24 13  9  8  3
16.05  4  36 20  11  7  5  7  2  0   3  0  0  1  3  2
16.05  5  34 18  20 10  6 10  3  2   9  3  4  4  4  3
16.05  6  30 19   0  3  3  4 12  1   2  3  3  4  4  0
16.05  7  36 20   0  1  2  3  2  3   1  0  2  2  6  1
07.06  1  76 16   7  4 15  3  7  2   5  5 17  8  9  5
07.06  2  82 16   4  3  1  4  2  0   2  4  4 10 28  3
07.06  3  81 16   0  2  0  0  0  0   6  3  9 12 22  2
07.06  4  75 16   8  2  6  1  3  1   3  3  5 10 16  0
07.06  5  77 16   2  3  0  0  5  0   3  1  4  9 10  1
07.06  6  72 17   1  0  2  1  3  3   2  4  4 13 15  1
07.06  7  71 17   0  0  2  0  1  1   2  1  8  8 24  1
13.06  1  51 22   3  6  3  1  2  1   1  4  4  5  6  0
13.06  2  60 19   5  2  1  4  0  0   5  3  0  5  1  1
13.06  3  54 21   4  1  3  2  0  0   0  3  1  4  1  0
13.06  4  44 24   5  2 10  2  3  6   3  2  4  4  2  1
13.06  5  43 23   2  1  5  4  5  0  13 15 12 17 16  0
13.06  6  45 20   2  1  1  0  1  1   5  4  7 19  7  6
13.06  7  54 18   3  2  3  1  4  2  16  3 22 26 14 10
27.06  1  46 24   6  1  3  3  2  2   3  2  2  6  1  0
27.06  2  53 24   2  3  0  4  1  3   4  2  2  2 10  0
27.06  3  52 23   9  6  6  6 40  2   2  3  3  6  2  0
27.06  4  45 25  18  6  6  8  5  1   0  0  2  3  5  0
27.06  5  46 25   5  8  6  0  4  2   3  1  2  5  6  0
27.06  6  47 24   3  2  4  1  3  3   0  1  3  3  6  1
27.06  7  45 25   3  5  1  1  0  3   2  2  2  2  8  5
12.07  1  54 27  11  7 24 10  8  5   4  2  2  6  3  2
12.07  2  50 28   1  0  4  1  0  2   6  9  4  5  1  1
12.07  3  52 31   9  5  5  2  8  2   4  1  4  4  7  2
12.07  4  40 31   0  5  5  1  3  2   0  2  4  5  3  0
12.07  5  45 29   1  4  0  3  1  0   2  2  2  4  0  2
12.07  6  40 30   0  0  0  1  1  1   2  2  1  3  1  0
12.07  7  39 30   2  0  1  1  0  1   3  3  5  2  3  1
25.07  1  47 28   6  5  4  6  5  6   5  6  2  4  2  2
25.07  2  49 26   3  3  7  0  5  7   9  5 10  6  0  1
25.07  3  42 27   8 12 11  5  3  8  11 10  7  4 10  0
25.07  4  40 28  11  4  6  3  1  0   5  2  1  2  2  0
25.07  5  39 31   2  1  1  2  2  3   6  2  3  1  4  1
25.07  6  33 31  11  7  0  0  0  1   1  1  4  1  2  0
25.07  7  35 30   5  3  4  4  2  1   3  1  5  3  4  0
08.08  1  62 25   7  2  1  0  3  0  14  3  8  8  5  5
08.08  2  64 24   0  0  4  2  5  2   9  5 10  6  8 10
08.08  3  63 26   4  2  0  1  1  1   4  4  5  5  3  1
08.08  4  48 28   3  0  2  3  1  1   6  4  3  7  6  8
08.08  5  56 26   0  0  2  1  1  1   8  4  3  3  7  0
08.08  6  53 28   0  1  0  2  0  0   6  2 10  6  4  0
08.08  7  48 28   2  2  1  2  3  1   6  1  4  5 12 15
22.08  1  64 25  19  8  5 13 11  0  14  5  3  5  2  2
22.08  2  59 25   4  6  6  3  2  8   8  7  6  8  1  0
22.08  3  58 26   7  3  4  4  9  1  15 11  3  6  2  3
22.08  4  54 28   2  6  2  4  5  1   4  5  1  8  7  5
22.08  5  55 28   4  0  5  3  1  2   6 15  3  4  2  3
22.08  6  43 29   1  0  3  0  2  0   3  4  6  6  1  4
22.08  7  45 29   3  6  6  2  1  2   6  1  2  1  5  2
05.09  1  43 19  28 26 20  8  3  9   7  7 14 12 12  5
05.09  2  30 22  13  6  2  4 10  4   9  6 12  8  8  2
05.09  3  45 20   7  4  7  2  4  8   2  8  3  9  3  2
05.09  4  42 19   3  1  3  1  0  4  12  1  8  8 12  5
05.09  5  41 22   3  3  1  5  1  6   2  5  5 12 16  4
05.09  6  36 21   9  1  4  1  3  2   4  3  8 12 14 16
05.09  7  42 20   1  1  2  4  0  1   8  7  7  7  7 12
19.09  1  79 16  14 15  8  5  6  3   7 13  7  3  6  1
19.09  2  85 15  12 13  5  3  6  9   4  0  2  6  6  4
19.09  3  83 17   3  3  2  3  5  6   4  5  2  3  8  0
19.09  4  82 17  10 14  7  4  3  1   5  2  3  5  8  1
19.09  5  83 16   1  0  3  2  2  3   2  1  4  4 13  1
19.09  6  83 17   2  1  1  2  2  0   9  4  3  6  9  0
19.09  7  85 16   2  1  1  2  2  0   0  2  2  4  6  2
04.10  1  66 18  11  3  6  3  7  6   2  1  1  3  4  0
04.10  2  63 20  30 10 10  7  2  4  16  6  2  6  3  2
04.10  3  64 19   5  5  6  3  2  2   1  2  1  2  3  0
04.10  4  60 22   5  6  4  4 18  3   6  3  4  1  5  3
04.10  5  53 22   2  1  0  3  0  0   0  1  2  2  2  0
04.10  6  44 24   1  1  1  1  0  5   0  1  0  1  4  0
04.10  7  48 24   1  2  3  1  5  8   0  0  3  0  1  0
17.10  2  60 17   3  4  8  3  2  2   4  4  3  1  3  0
17.10  3  57 17  21 18 14  0  2  4   3  3  0  2  1  0
17.10  4  54 17   3  2  4  2  5  1   1  1  0  1  1  2
17.10  5  54 17   8  1  1  1  0  1   1  3  1  1  2  2
17.10  6  51 17   2  2  0  6  7  3   2  1  2  2  2  2
17.10  7  58 15   5  0  3  2  2  1   0  3  1  1  2  3
31.10  1  89 12  18 15 26  8 15  7  19 33 34  5  8  0
31.10  2  87 12   4  1  3 10 16  8   0  1  4  4 12  0
31.10  3  99 13  10  9 14 22 17  3   0  3  3  6 10  0
31.10  4  84 13  11 14  4  7  8  1   0  1  1  9 11  0
31.10  5  88 11   1  0  0  3  1  1   0  0  0  2  5  0
31.10  6  88 12   0  1  2  2  2  0   2  2  3  3  7  1
31.10  7  88 12   3  0  2  3  2  3   2  2  0 18  5  1
14.11  1  74  8  10  2  8  2 10  4   0  2 12  3  3  1
14.11  2  70  9   2  3  1  3  4  2   0  0  0  1  6  0
14.11  3  73  8   4  0  1  1  5  0   0  0  0  3  2  0
14.11  4  70  9   4  1  2  0  4  0   0  0  0  3  2  0
14.11  5  70 10   3  2  1  0  0  0   1  0  0  3  4  0
14.11  6  65 11   3  4  0  0  2  3   0  3  0  0  1  0
14.11  7  71 10   6  5  0  5  6  5   5  0  0  3  3  0
28.11  1  87  6  12  2  7  5  6  6   0  0  1  1  4  2
28.11  2  88  2   0  3  1  0  5 10   1  0  0  3  2  1
28.11  3  84  3   1  2  1  1  4  0   0  0  1  1  5  1
28.11  5  64  7   5  0  1  0  6  1   0  0  0  1  5  0
28.11  6  67  8   2  0  1  0  0  4   0  0  0  1  2  1
28.11  7  69  9   2  1  1  2 12 36   0  0  0  1  3  0
13.12  1  65 -1   7  5  4  3  3  3   0  0  2  2  2  1
13.12  2  81 -2   0  6  0  2  0  4   0  2  1  4  5  0
13.12  3  81 -2   1  1  3  3  3  0   1  1  4  3  3  0
13.12  4  74  0   0  0  0  3  5  2   0  1  1  1  1  0
13.12  5  63  0   1  1  1  1  5  7   0  0  1  5  5  1
13.12  6  69 -1   1  1  1  1  0  0   0  2  3  0  1  0
13.12  7  74 -1   0  1  0  1  1  6   0  2  0  1  1  1
03.01  1  70  0   3  2  1  4  4  2   2  0  3  7 16  0
03.01  2  86 -2   1  3  1  7  4  6   3  3  4  4  0  0
03.01  3  83 -1   1  5  1  4  3  0   2  2  0  1  2  6
03.01  4  79  0   5  4  1  1  3  1   7  1  7  2  6  2
03.01  6  86 -1   3  2  1  1  0  1   1  6  2  1  2  2
03.01  7  85 -2   4  3  3  3  3  2   3  4  3  6  8  2
09.01  1  82  1   9  5  6  3 10 20   4  2  3  7 33  2
09.01  2  85  3   4  4  4  1  1  2   3  0  1  4  3  2
09.01  3  84  2   3  0  4  3  1  2   0  1  1  0  2  5
09.01  4  89  2   4  0  2  5  4  0   1  2  2  4  3  1
09.01  5  86  2   2  1  2  3  4  2   4  2  2  1  2  1    
09.01  6  86  3   3  1  0  1  4  2   0  1  1  7 12 12
09.01  7  87  3   1  1  2  0  2  1   3  4  3  2  9  2
23.01  1  81 -5   3  3  6  3  3  2   0  2  2  0  5  3
23.01  2  80 -5   1  3  2  3  1  0   0  2  0  3  2  0
23.01  3  77 -4   0  0  0  0  0  1   0  0  0  2  2  0
23.01  4  83 -4   1  1  1  1  2  3   1  1  1  5  1  7
23.01  5  79 -4   0  6  5  1  3  3   0  0  0  0  0  0    
23.01  6  77 -5   1  0  1  4  1  0   0  0  0  0  1  1
23.01  7  81 -6   3  0  0  0  1  2   1  0  1  1  3  0
06.02  1  55 -4   6  2  2  1  2  0   0  0  0  1  1  0
06.02  2  54 -5   3  0  0  1  2  1   1  0  0  0  1  0
06.02  3  51 -2   3  0  0  0  2  1   1  0  1  1  0  0
06.02  4  54 -3   0  0  0  0  1  0   2  0  0  1  3  0
06.02  5  55 -2   0  3  1  1  2  0   3  0  0  0  2  0    
06.02  6  51 -2   0  1  1  1  1  0   1  0  0  1  3  0
06.02  7  56 -2   0  0  1  1  0  0   0  0  0  1  0  1
21.02  1  76  1   8  5 12  5  2  2   0  1  2  0  0  1
21.02  2  78  0   0  1  0  0  0  0   0  1  3  1  2  0
21.02  3  71  3   0  0  0  0  1  0   0  0  0  0  0  1
21.02  4  68  1   0  0  0  3  0  0   2  3  5  1  2  0
21.02  5  70  2   0  0  0  1  0  1   0  0  1  2  5  1    
21.02  6  58  3   0  1  2  3 12  0   0  0  1  4  2  0
21.02  7  60  5   0  2  0  0  0  0   0  1  0  0  1  0
