 D        V         H
 8.3      10.3      70
 8.6      10.3      65
 8.8      10.2      63
 10.5     16.4      72
 10.7     18.8      81
 10.8     19.7      83
 11       15.6      66
 11       18.2      75
 11.1     22.6      80
 11.2     19.9      75
 11.3     24.2      79
 11.4     21        76
 11.4     21.4      76
 11.7     21.3      69
 12       19.1      75
 12.9     22.2      74
 12.9     33.8      85
 13.3     27.4      86
 13.7     25.7      71
 13.8     24.9      64
 14       34.5      78
 14.2     31.7      80
 14.5     36.3      74
 16       38.3      72
 16.3     42.6      77
 17.3     55.4      81
 17.5     55.7      82
 17.9     58.3      80
 18       51.5      80
 18       51        80
 20.6     77        87
