starost	mesec	spol	masa	visina	roke	cevelj	lasje	oci	mati	oce	majica
59	7	M	91	178	189	44	T	S	155	180	L
21	1	F	60	173	176	43	T	T	162	184	S
21	7	F	55	178	178	39	T	T	170	180	S
21	8	F	70	167	165	39	S	T	160	190	S
21	4	F	65	171	168	40	T	S	169	176	M
21	3	M	88	171	173	41	T	T	165	182	XL
21	7	F	52	162	164	39	T	T	160	170	S
20	11	F	53	161	160	38	T	T	158	180	S
22	6	F	62	168	164	41	T	S	170	185	M
23	10	F	59	169	168	38	S	S	178	180	M
21	9	F	65	170	169	40	S	S			L
21	7	F	55	164	167.5	37	T	T	160	175	S
20	2	F	51	156	154	38	S	S	158	182	XS
23	6	F	56	170	170	39	T	S	165	173	S
21	2	F	56	167	166	39	S	S	160	180	S
21	10	M	75	185	193	45	S	S			M
21	6	F	63	170	165	40	T	T			M
21	8	F	57	168	162	38	T	T	165	173	S
20	11	F	63	174	171	40	S	S	168	173	M
21	5	F	700	173	169	39	T	T	164	178	M
21	4	M	72	183	185	44	T	S	172	187	M
21	9	F	66	163	164	39	S	S	168	177	M
20	11	M	87	189	190	45	T	S	180	187	L
20	8	F	54	168	170	40	S	S	174	180	M
22	5	F	65	163	159	39	S	S	160	172	L
21	3	F	59	164	165	36	S	S	165	172	M
21	5	F	61	174	170	40	S	S	162	189	M
20	11	F	62	168	163	39	S	T	168	183	S
21	7	F	51	159	157	37	T	S	157	173	XS
22	2	F	58	173		42	S	S			S
22	7	M	90	180		42	T	T			L
21	8	M	75	180		43	T	T	168	174	M
21	5	F	61	163	160	39	S	S	157	173	M
22	7	F	55	170		39	T	T	165	178	S
23	8	F	59	168	164	38	T	T	174	188	S
20	11	M	70	180	181	40	S	S	166	188	M
21	11	F	51	166	160	38	S	S	163	182	S
22	10	M	73	173	180	42	T	S	168	175	M
21	10	F	58	170	171	48	S	S	177	180	M
22	7	F	56	158	156	37	T	T	165	179	M
21	4	F	55	157		37	T	T	157	178	S
22	10	F	50	160	160	37	S	T	164	174	S
22	0	M	73	181	187	43	T	T	167	175	M
