"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
9917	2020-08-04 10:00:00	"DA"	"JASNO"	63	"MOŠKI"	0
5638	2020-06-05 17:00:00	"DA"	"JASNO"	42	"MOŠKI"	0
2872	2020-03-03 11:00:00	"DA"	"JASNO"	81	"ŽENSKI"	0
8401	2020-08-02 12:00:00	"DA"	"JASNO"	75	"MOŠKI"	1,09
4577	2020-05-06 20:00:00	"NE"	"JASNO"	40	"MOŠKI"	0
6534	2020-06-26 18:00:00	"DA"	"JASNO"	28	"MOŠKI"	0
2008	2020-02-17 18:00:00	"DA"	"DEŽEVNO"	25	"MOŠKI"	0
2041	2020-02-11 16:00:00	"DA"	"JASNO"	77	"ŽENSKI"	0
9824	2020-08-30 04:00:00	"NE"	"JASNO"	21	"MOŠKI"	0,15
6547	2020-06-27 14:00:00	"NE"	"JASNO"	20	"MOŠKI"	0
5062	2020-05-24 21:00:00	"DA"	"OBLAÈNO"	48	"MOŠKI"	0
1346	2020-01-28 15:00:00	"NE"	"DEŽEVNO"	22	"ŽENSKI"	0
5995	2020-06-12 16:00:00	"DA"	"JASNO"	64	"MOŠKI"	0
129	2020-01-04 16:00:00	"DA"	"OBLAÈNO"	36	"MOŠKI"	0
1486	2020-02-05 23:00:00	"DA"	"OBLAÈNO"	54	"MOŠKI"	0,67
2823	2020-03-03 19:00:00	"DA"	"NEZNANO"	66	"ŽENSKI"	0
2234	2020-02-20 12:00:00	"DA"	"JASNO"	60	"ŽENSKI"	0
3563	2020-03-29 12:00:00	"DA"	"OBLAÈNO"	71	"MOŠKI"	0,59
4253	2020-04-30 06:00:00	"DA"	"JASNO"	44	"MOŠKI"	0
2961	2020-03-05 11:00:00	"DA"	"JASNO"	45	"MOŠKI"	0,07
7830	2020-07-18 16:00:00	"DA"	"OBLAÈNO"	26	"MOŠKI"	0
9947	2020-08-31 15:00:00	"DA"	"DEŽEVNO"	70	"MOŠKI"	0,18
6818	2020-07-01 19:00:00	"DA"	"OBLAÈNO"	43	"ŽENSKI"	0
6614	2020-06-22 07:00:00	"NE"	"JASNO"	24	"ŽENSKI"	0
1877	2020-02-05 08:00:00	"DA"	"JASNO"	52	"MOŠKI"	0
7564	2020-07-14 13:00:00	"NE"	"JASNO"	46	"MOŠKI"	0
8637	2020-08-06 17:00:00	"DA"	"OBLAÈNO"	59	"ŽENSKI"	0
3361	2020-03-17 09:00:00	"DA"	"JASNO"	66	"MOŠKI"	0
2691	2020-02-29 22:00:00	"DA"	"OBLAÈNO"	30	"MOŠKI"	0
4306	2020-04-23 21:00:00	"DA"	"JASNO"	27	"MOŠKI"	0
91	2020-01-05 10:00:00	"DA"	"JASNO"	20	"ŽENSKI"	0
1377	2020-02-03 13:00:00	"NE"	"OBLAÈNO"	63	"ŽENSKI"	0
879	2020-01-21 17:00:00	"NE"	"JASNO"	36	"MOŠKI"	0
5836	2020-06-10 17:00:00	"DA"	"OBLAÈNO"	45	"MOŠKI"	0
926	2020-01-23 12:00:00	"NE"	"OBLAÈNO"	59	"MOŠKI"	0
7794	2020-07-21 10:00:00	"DA"	"JASNO"	48	"MOŠKI"	0
2037	2020-02-17 14:00:00	"NE"	"OBLAÈNO"	53	"MOŠKI"	0
3321	2020-03-16 13:00:00	"NE"	"JASNO"	29	"ŽENSKI"	0
2291	2020-02-21 14:00:00	"NE"	"JASNO"	40	"ŽENSKI"	0
6759	2020-06-29 16:00:00	"NE"	"OBLAÈNO"	50	"ŽENSKI"	0
9872	2020-08-25 15:00:00	"DA"	"JASNO"	29	"MOŠKI"	0
2498	2020-02-26 19:00:00	"DA"	"JASNO"	37	"ŽENSKI"	0
6879	2020-07-03 15:00:00	"DA"	"JASNO"	85	"MOŠKI"	0,62
5960	2020-05-11 12:00:00	"DA"	"JASNO"	43	"ŽENSKI"	0
701	2020-01-10 10:00:00	"DA"	"JASNO"	78	"ŽENSKI"	0
2254	2020-02-21 14:00:00	"DA"	"JASNO"	55	"MOŠKI"	0
7396	2020-07-03 18:00:00	"DA"	"OBLAÈNO"	73	"ŽENSKI"	0
4573	2020-05-10 23:00:00	"NE"	"JASNO"	23	"MOŠKI"	0,33
