starost	teza_pred	teza_po	visina
36	49	53	160
32			
32	59		174
35	78		175
29	47	55	160
38	59	58	160
25	58		168
36	52		163
28	65		173
33	55		167
32	63		168
35	62		158
33			
34	58		167
35	68	72	175
32	60		164
32	53	62	170
29	74	74	164
29	54	55	165
29	59	61	166
26			
26	58		168
29	57	54	173
36	62		168
36	68		170
28			
26	54		167
26	58		170
28	55		167
33			
31	72	80	178
38	73		183
30	54		174
31	61		173
26			
29	56		170
28	63		176
30	65		165
34			
30	48		165
33			
28	65		170
36	69	70	178
27	72		172
33	60		168
34	50		165
24	95		180
24	48		158
29			
36	64		171
25	78		167,5
29	59		168
25	67		178
34	53		167
33			
30	54	63	160
34	60		162
26			
41			
35			
26	50	52	166
25	50		168
27	50	55	168
27	63		168
29	53	52	164
28	55		162
27	92		160
33	51		164
25	65	67	167
33	66		165
37	80		163
32	47		152
32	55	59	162
33	60	57	165
30	68	74	163
36	57		162
41		62	
37	62	59	167
33	50	53	160
35			
29	62	56	160
33	53		162
31	51		164
26	53		163
36			
32	53	49	172
35	48		154
30			
31	98	110	180
42	56	60	162
35	45	45	154
30	58	58	168
23	56	49	165
35	70	75	162
37	57	52	170
40	69	69	178
31			
37			
34	78	78	168
32	62	65	162
35	68		170
32	57	58	162
31	53	51	159
30			
27	52	57	168
28	75	80	170
28	75		163
29	77	75	160
32		74	
24	57	57	171
20			
27	65	63	170
35	60		174
32	78		180
33	58	50	170
39			
27	77		174
	64		170
29	50		168
17			
33	59	57	170
35	86		174
30	49		160
34	50	50	170
32	62		168
37	65		164
31	70	80	179
26	59	57	170
28	52	56	161
38	57		168
24	93	92	175
34	60	55	163
31			
33			
31			
29	56	58	170
34	50	55	160
30	66	62	173
31	63		173
35	55	59	162
34			
33			
27	62	62	171
32	69		172
37	58	55	163
33	68	75	170
34	63		170
30	54		164
28			177,5
25	56	53	167
34	65	62	162
33	81	84	173
37	93		170
33	55		158
25	105		177
33	80	85	170
34	72	68	167
29			
39			
29	74	74	179
28	50	50	158
30	53	51	163
25	55	63	166
40			
31	55		162
29	49		158
33	70	60	173
31	53		170
36			
22	49		170
33			
27	52		168
33	58	57	164
29			
22	55		160
30			
30	74	78	170
34			
32			
30			
28	90		
32	85		160
26	68		163
28		62	
28	52		162
23	54		175
28			
29	56		168
30	76	86	170
23	62		172
30	69	73	180
36			
35			
